P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.000184165,0.99834245,0.000184162,0.00018417,0.000184164,0.000184188,0.000184167,0.000184162,0.000184206,0.000184165
0.000149481,0.004580041,0.000149477,0.000149481,0.000149484,0.994224116,0.000149478,0.000149477,0.000149489,0.000149478
0.000201209,0.000201213,0.000201207,0.000201208,0.000201209,0.998189112,0.000201209,0.000201211,0.000201211,0.00020121
0.000302139,0.997280832,0.000302115,0.00030212,0.000302123,0.000302136,0.00030212,0.000302129,0.000302169,0.000302118
0.000309638,0.288885131,0.000309598,0.000309603,0.000309621,0.000309602,0.000309598,0.708637974,0.000309627,0.000309608
0.000176066,0.000176078,0.000176056,0.000176059,0.000176058,0.000176061,0.000176058,0.000176057,0.998415447,0.000176058
0.997239185,0.000306767,0.000306748,0.00030675,0.00030675,0.000306752,0.000306752,0.000306755,0.000306787,0.000306753
0.00026596,0.000265976,0.000265957,0.000265959,0.000265958,0.00026596,0.99760635,0.000265958,0.000265964,0.000265959
0.000337846,0.005002634,0.000337838,0.000337843,0.000337844,0.000337844,0.000337841,0.000337838,0.992294627,0.000337845
0.000327883,0.000327894,0.000327869,0.000327873,0.000327871,0.000327872,0.00032787,0.000327874,0.000327876,0.997049118
0.000273231,0.997540868,0.000273224,0.000273236,0.00027323,0.00027325,0.000273231,0.000273224,0.000273281,0.000273226
0.000332252,0.997009845,0.000332226,0.000332231,0.00033224,0.000332254,0.000332228,0.000332228,0.00033227,0.000332227
0.00014327,0.000143287,0.000143266,0.998710558,0.00014327,0.000143271,0.000143267,0.000143267,0.000143275,0.000143267
7.87E-05,0.999291857,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05
0.000118767,0.000118778,0.000118765,0.000118766,0.000118768,0.000118767,0.000118765,0.000118765,0.998931093,0.000118765
0.000143683,0.998706809,0.000143678,0.000143691,0.000143683,0.000143697,0.000143681,0.000143681,0.000143717,0.000143678
0.000386114,0.2139189,0.0003861,0.000386108,0.000386123,0.782992224,0.000386103,0.0003861,0.000386124,0.000386103
0.000270285,0.997567384,0.00027027,0.000270283,0.000270282,0.000270327,0.000270282,0.000270273,0.000270341,0.000270272
0.000104168,0.000104178,0.000104167,0.000104169,0.000104169,0.00010417,0.000104167,0.000104167,0.999062478,0.000104167
0.692369892,0.304678036,0.000369004,0.000369004,0.000369013,0.000369009,0.000369019,0.000369005,0.000369015,0.000369004
0.000216498,0.998051818,0.00021645,0.000216453,0.000216465,0.000216463,0.000216494,0.000216451,0.000216457,0.00021645
0.000325794,0.997068247,0.000325733,0.00032574,0.000325756,0.000325742,0.000325782,0.000325733,0.000325739,0.000325736
0.000300319,0.384000376,0.0003003,0.000300303,0.000300372,0.000300306,0.613597115,0.0003003,0.000300309,0.0003003
0.000300319,0.997297175,0.0003003,0.000300306,0.000300342,0.000300305,0.00030033,0.0003003,0.000300319,0.000300304
0.000271774,0.368799377,0.000271739,0.000271743,0.012406409,0.000271744,0.61689198,0.000271743,0.000271751,0.000271739
0.000339022,0.99694898,0.000338983,0.000339,0.000339007,0.000338987,0.000339064,0.000338983,0.000338991,0.000338983
0.57042876,0.426383765,0.000398406,0.000398412,0.00039852,0.000398412,0.000398481,0.000398408,0.000398429,0.000398406
0.000366324,0.996702988,0.0003663,0.000366302,0.000366449,0.000366302,0.000366401,0.000366326,0.000366305,0.000366301
0.0003534,0.875766987,0.000353357,0.000353362,0.121406055,0.000353361,0.000353396,0.000353357,0.000353366,0.000353358
0.000390642,0.328434702,0.000390625,0.000390633,0.668440258,0.000390629,0.000390627,0.000390625,0.00039063,0.00039063
0.000267399,0.421651276,0.00026738,0.000267381,0.576209626,0.000267385,0.000267401,0.00026738,0.000267393,0.00026738
0.00036632,0.229085315,0.0003663,0.000366307,0.767984207,0.000366309,0.000366325,0.0003663,0.000366316,0.0003663
0.000231525,0.961683359,0.000231482,0.000231485,0.036464695,0.000231483,0.000231524,0.000231482,0.000231486,0.000231482
0.000384622,0.996538361,0.000384615,0.000384632,0.000384656,0.000384618,0.000384631,0.000384615,0.000384631,0.000384618
0.000322622,0.971096358,0.000322581,0.000322583,0.026322893,0.000322583,0.00032259,0.000322581,0.000322629,0.000322581
0.000232039,0.997911752,0.000232019,0.00023202,0.00023204,0.000232021,0.000232049,0.000232019,0.000232024,0.000232019
0.000387612,0.355328748,0.000387597,0.000387601,0.641570412,0.000387605,0.000387615,0.000387597,0.000387616,0.000387597
0.928461103,0.068881026,0.000332226,0.000332229,0.000332259,0.000332233,0.000332228,0.000332226,0.000332242,0.000332227
0.000268127,0.969351982,0.000268097,0.000268098,0.028503185,0.0002681,0.00026811,0.000268098,0.000268107,0.000268097
0.000390668,0.996484224,0.000390625,0.000390632,0.000390688,0.000390645,0.000390631,0.000390626,0.000390634,0.000390626
0.000177008,0.998407028,0.000176991,0.000176995,0.000177008,0.000176994,0.000176993,0.000176994,0.000176998,0.000176991
0.000354636,0.996808354,0.00035461,0.000354626,0.000354636,0.000354623,0.000354628,0.00035461,0.000354658,0.000354618
0.000289861,0.997391226,0.000289855,0.000289862,0.000289865,0.000289861,0.000289858,0.000289889,0.000289868,0.000289856
0.000389399,0.996497659,0.000389105,0.000389109,0.000389132,0.000389107,0.000389153,0.000389109,0.000389123,0.000389105
0.000330041,0.99702964,0.000330033,0.000330041,0.00033004,0.000330034,0.000330051,0.000330033,0.000330053,0.000330033
0.000411563,0.99629615,0.000411523,0.000411528,0.000411564,0.000411531,0.000411541,0.000411523,0.000411533,0.000411545
0.000309612,0.997213529,0.000309598,0.000309602,0.000309656,0.000309599,0.0003096,0.000309598,0.000309608,0.000309598
0.000317482,0.324282638,0.00031746,0.000317465,0.000317497,0.000317469,0.673177593,0.00031746,0.000317474,0.000317461
0.000326817,0.997058531,0.000326797,0.000326813,0.000326869,0.000326815,0.000326941,0.000326798,0.000326821,0.000326798
0.000252531,0.997727196,0.000252525,0.000252531,0.000252582,0.000252529,0.000252528,0.000252525,0.000252527,0.000252525
0.000263163,0.997631531,0.000263158,0.00026316,0.000263169,0.000263161,0.000263161,0.00026316,0.000263172,0.000263166
0.000267386,0.28343388,0.00026738,0.000267385,0.714427055,0.000267381,0.000267385,0.00026738,0.000267388,0.000267381
0.000323631,0.997086978,0.000323625,0.000323662,0.000323674,0.00032386,0.000323633,0.000323625,0.000323687,0.000323626
0.000233661,0.997897041,0.000233645,0.00023365,0.000233735,0.000233655,0.000233664,0.000233649,0.000233653,0.000233647
0.00028736,0.997413682,0.000287356,0.000287359,0.000287378,0.000287383,0.000287359,0.000287367,0.000287385,0.000287371
0.000304891,0.997255995,0.000304878,0.000304889,0.000304927,0.000304881,0.000304884,0.000304886,0.000304888,0.00030488
0.000367652,0.996691148,0.000367647,0.000367649,0.000367653,0.000367649,0.000367647,0.000367647,0.00036766,0.000367647
0.000310618,0.99720485,0.000310559,0.000310561,0.000310583,0.000310571,0.00031056,0.000310559,0.000310578,0.000310559
0.00021187,0.998093182,0.000211864,0.000211865,0.000211883,0.000211869,0.000211868,0.000211864,0.000211869,0.000211865
0.680537856,0.316223217,0.000404858,0.000404866,0.000404887,0.000404862,0.000404862,0.000404858,0.000404876,0.000404858
0.000317467,0.128491968,0.00031746,0.000317464,0.868968323,0.000317462,0.000317464,0.000317461,0.000317469,0.000317461
0.000383171,0.28273348,0.000383142,0.00038315,0.714201325,0.000383144,0.000383145,0.000383143,0.000383159,0.000383142
0.00023983,0.867847535,0.000239808,0.000239814,0.130233941,0.000239811,0.000239814,0.000239808,0.000239819,0.00023982
0.730893672,0.266550321,0.000319489,0.0003195,0.00031954,0.000319498,0.000319492,0.000319489,0.000319511,0.000319489
0.000393719,0.99645655,0.000393701,0.000393703,0.000393742,0.000393746,0.000393704,0.000393701,0.000393732,0.000393702
0.000358509,0.996773934,0.000358423,0.000358432,0.00035856,0.000358426,0.00035843,0.000358423,0.00035844,0.000358423
0.000357151,0.123634676,0.000357143,0.000357151,0.873508113,0.000357152,0.000357144,0.000357143,0.000357183,0.000357145
0.000381689,0.928036517,0.000381679,0.000381684,0.068910014,0.000381682,0.00038169,0.000381679,0.000381684,0.000381681
0.000328952,0.893901209,0.000328947,0.000328956,0.103467173,0.000328952,0.000328948,0.000328948,0.000328964,0.000328949
0.000311528,0.980029764,0.000311527,0.000311528,0.017478018,0.000311527,0.000311527,0.000311527,0.000311528,0.000311527
0.000170942,0.956260733,0.00017094,0.000170941,0.042371734,0.000170943,0.000170941,0.00017094,0.000170942,0.000170942
0.000377372,0.411103698,0.000377359,0.000377364,0.585877388,0.000377364,0.000377362,0.00037736,0.000377371,0.000377363
0.00040002,0.99639975,0.0004,0.000400002,0.000400184,0.000400012,0.000400009,0.0004,0.000400023,0.000400001
0.000378793,0.067500719,0.000378788,0.00037879,0.929468946,0.000378792,0.000378792,0.000378788,0.000378803,0.000378789
0.00034366,0.996907096,0.000343643,0.000343683,0.00034366,0.000343643,0.000343643,0.000343643,0.000343687,0.000343643
0.000242155,0.26843026,0.000242131,0.000242139,0.000242141,0.000242133,0.000242131,0.000242131,0.729632647,0.000242131
0.00026387,0.997625247,0.000263852,0.000263871,0.000263862,0.00026386,0.000263855,0.000263852,0.000263878,0.000263853
0.000378809,0.996590697,0.000378788,0.000378844,0.00037881,0.000378797,0.000378808,0.000378788,0.000378872,0.000378788
0.000396833,0.36309039,0.000396825,0.633734967,0.000396839,0.000396826,0.000396828,0.000396825,0.000396841,0.000396826
0.000276251,0.997513696,0.000276243,0.000276316,0.000276254,0.000276248,0.000276253,0.000276243,0.000276247,0.000276248
0.000327903,0.997049024,0.000327869,0.000327944,0.000327884,0.000327878,0.000327875,0.00032787,0.000327883,0.00032787
0.000352124,0.996830901,0.000352113,0.000352124,0.000352127,0.000352133,0.000352113,0.000352113,0.000352138,0.000352115
0.00033901,0.996948938,0.000338983,0.000338991,0.000339009,0.000338988,0.000339007,0.000338984,0.000339099,0.000338991
0.000353363,0.996819668,0.000353357,0.000353392,0.000353394,0.000353362,0.000353372,0.000353357,0.000353378,0.000353357
0.842538852,0.155617784,0.000230415,0.000230419,0.000230429,0.000230421,0.000230417,0.000230417,0.000230429,0.000230417
0.000296745,0.99732933,0.000296736,0.000296741,0.000296741,0.000296741,0.00029675,0.000296736,0.000296737,0.000296742
0.00038911,0.996497993,0.000389105,0.000389107,0.000389131,0.000389114,0.000389114,0.000389105,0.000389116,0.000389105
0.000315474,0.997160812,0.000315457,0.000315458,0.000315473,0.000315465,0.000315464,0.000315464,0.000315475,0.000315457
0.000359722,0.996762545,0.000359712,0.000359715,0.000359734,0.000359714,0.000359717,0.000359712,0.000359717,0.000359713
0.00034015,0.996938701,0.000340136,0.000340145,0.000340156,0.000340138,0.000340138,0.000340152,0.000340147,0.000340136
0.000237539,0.997862149,0.00023753,0.00023754,0.000237564,0.000237536,0.00023754,0.00023753,0.000237541,0.00023753
0.000332242,0.997009892,0.000332226,0.000332228,0.000332242,0.000332227,0.000332243,0.000332226,0.000332247,0.000332226
0.00032789,0.997049136,0.000327869,0.00032787,0.000327878,0.000327872,0.000327872,0.000327869,0.000327874,0.000327869
0.000363649,0.996727182,0.000363636,0.000363644,0.000363659,0.00036364,0.000363639,0.000363636,0.000363677,0.000363636
0.000187984,0.99830823,0.00018797,0.000187973,0.000187976,0.000187971,0.00018797,0.000187977,0.000187978,0.00018797
0.000266679,0.997599948,0.000266667,0.00026667,0.000266683,0.00026667,0.000266675,0.000266667,0.000266675,0.000266667
