P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.000184163,0.998342493,0.000184164,0.000184164,0.00018417,0.000184167,0.000184164,0.000184164,0.000184184,0.000184167
0.000149478,0.000149491,0.000149478,0.000149478,0.000149478,0.91827479,0.000149478,0.000149484,0.080529352,0.000149493
0.000201208,0.00020121,0.000201207,0.000201209,0.000201211,0.000201223,0.000201208,0.000201208,0.000201212,0.998189103
0.000302117,0.032853997,0.000302158,0.000302126,0.000302151,0.000302157,0.000302125,0.614215028,0.350816003,0.000302138
0.000309602,0.00030962,0.000309599,0.000309601,0.000309598,0.0003096,0.000309599,0.762206941,0.235316224,0.000309615
0.000176065,0.000176075,0.000176056,0.000176065,0.000176108,0.000176063,0.000176057,0.000176066,0.133399645,0.865191799
0.997239147,0.00030676,0.000306749,0.00030675,0.000306749,0.000306749,0.000306751,0.000306782,0.000306764,0.000306799
0.00026596,0.000265967,0.000265958,0.000265958,0.000265958,0.000265958,0.997606339,0.000265961,0.000265971,0.00026597
0.00033784,0.000337866,0.000337838,0.000337847,0.000337851,0.000337845,0.000337843,0.000337867,0.996959346,0.000337859
0.000327872,0.000327872,0.000327869,0.000327875,0.000327869,0.00032787,0.000327869,0.000327884,0.000327891,0.997049129
0.000273227,0.972593159,0.000273226,0.000273229,0.000273228,0.000273241,0.000273229,0.000273235,0.025220989,0.000273238
0.000332235,0.000332258,0.000332226,0.000332228,0.000332228,0.000332249,0.00033223,0.000332238,0.997009855,0.000332252
0.000143268,0.000143295,0.000143267,0.875638934,0.000143286,0.000143279,0.000143269,0.000143271,0.123214841,0.000143292
7.87E-05,0.933128462,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,7.87E-05,0.066242087,7.87E-05
0.000118767,0.000118777,0.000118765,0.000118768,0.000118768,0.000118774,0.000118766,0.000118766,0.998931058,0.000118791
0.00014368,0.000143688,0.000143678,0.00014368,0.000143722,0.000143681,0.000143725,0.000143679,0.089750752,0.909099715
0.000386106,0.000386136,0.0003861,0.000386105,0.00038611,0.000386105,0.000386101,0.000386104,0.996524989,0.000386144
0.000270276,0.0002703,0.000270273,0.000270275,0.00027029,0.000270295,0.000270272,0.000270273,0.99756745,0.000270296
0.000104169,0.000104177,0.000104167,0.000104171,0.000104169,0.000104177,0.000104167,0.000104168,0.999062453,0.000104181
0.000369005,0.000369027,0.000369004,0.000369005,0.000369004,0.000369005,0.000369009,0.649842095,0.347205838,0.000369008
0.000216452,0.900635926,0.000216454,0.00021645,0.000216451,0.000216452,0.000216454,0.000216458,0.097632446,0.000216456
0.000325733,0.685666643,0.000325736,0.000325737,0.000325734,0.000325734,0.000325741,0.000325742,0.311727463,0.000325737
0.000300301,0.000300382,0.000300316,0.0003003,0.000300306,0.000300303,0.373307991,0.00030032,0.624289474,0.000300307
0.000300307,0.00030035,0.000300306,0.000300301,0.000300311,0.000300301,0.000300311,0.000300305,0.997297181,0.000300328
0.000271739,0.726977693,0.000271756,0.000271751,0.00027174,0.00027174,0.000271752,0.000271749,0.270848338,0.000271741
0.000338986,0.000339004,0.000338983,0.000338985,0.000339,0.000338984,0.000338984,0.000338986,0.9969491,0.000338988
0.000398407,0.000398448,0.000398406,0.00039841,0.000398411,0.000398413,0.000398436,0.000398412,0.996414239,0.000398417
0.000366302,0.000366338,0.000366304,0.000366301,0.000366309,0.000366301,0.000366307,0.000366314,0.996703211,0.000366313
0.000353357,0.000353389,0.000353357,0.000353358,0.000353373,0.00035336,0.000353378,0.000353365,0.996819704,0.000353359
0.000390626,0.000390634,0.000390625,0.000390625,0.000390625,0.000390626,0.00039063,0.000390625,0.996484357,0.000390628
0.000267381,0.000267407,0.000267383,0.00026738,0.000267385,0.000267381,0.000267384,0.000267381,0.997593537,0.000267382
0.000366301,0.000366328,0.0003663,0.000366329,0.000366305,0.000366305,0.000366307,0.000366306,0.996703216,0.000366303
0.000231482,0.407933088,0.00023149,0.000231483,0.000231485,0.000231482,0.00023149,0.000231492,0.590215025,0.000231483
0.000384615,0.000384644,0.000384621,0.000384622,0.000384628,0.000384656,0.000384618,0.000384615,0.99653836,0.00038462
0.000322581,0.000322596,0.000322581,0.000322581,0.000322581,0.000322594,0.000322586,0.000322587,0.99709671,0.000322604
0.000232019,0.000232035,0.000232019,0.000232019,0.000232019,0.000232019,0.000232019,0.000232021,0.997911806,0.000232024
0.000387597,0.000387644,0.000387603,0.000387598,0.000387604,0.000387605,0.000387602,0.000387597,0.996511544,0.000387604
0.00033227,0.849136363,0.000332233,0.000332226,0.000332227,0.000332237,0.000332251,0.000332229,0.148205722,0.000332243
0.000268097,0.000268125,0.000268108,0.000268101,0.000268098,0.000268109,0.000268105,0.000268098,0.997587061,0.000268098
0.000390625,0.502836684,0.000390647,0.000390627,0.000390632,0.000390625,0.000390631,0.00039064,0.494038254,0.000390636
0.000176991,0.743660874,0.000176993,0.000176994,0.000176992,0.000176993,0.000176993,0.000176995,0.254923181,0.000176994
0.000354617,0.960600783,0.000354612,0.000354619,0.000354612,0.000354614,0.000354614,0.000354613,0.036562301,0.000354617
0.000289856,0.566465983,0.000289888,0.000289856,0.000289856,0.000289858,0.000289859,0.000289867,0.431215116,0.00028986
0.000389106,0.755614804,0.000389107,0.000389107,0.000389141,0.00038911,0.000389107,0.000389128,0.241272279,0.000389111
0.000330033,0.120037865,0.000330036,0.000330061,0.000330035,0.000330054,0.000330037,0.000330034,0.877321809,0.000330035
0.000411526,0.125030966,0.000411545,0.495859122,0.000411566,0.000411524,0.00041153,0.000411525,0.376229145,0.00041155
0.0003096,0.600414472,0.000309598,0.000309614,0.000309598,0.000309598,0.000309598,0.000309599,0.397108725,0.0003096
0.000317461,0.758275967,0.000317463,0.000317474,0.000317462,0.000317494,0.000317485,0.000317466,0.239184267,0.000317462
0.000326801,0.749214428,0.000326934,0.000326802,0.000326805,0.000326829,0.0003268,0.000326801,0.248170975,0.000326825
0.000252526,0.758695415,0.000252526,0.000252527,0.000252526,0.000252527,0.000252526,0.000252525,0.239284376,0.000252526
0.000263165,0.860652014,0.000263158,0.000263162,0.000263173,0.00026316,0.00026316,0.000263159,0.137242676,0.000263174
0.00026738,0.151912146,0.00026738,0.00026738,0.00026738,0.00026738,0.00026738,0.00026738,0.845948813,0.000267383
0.000323627,0.000323705,0.000323625,0.000323629,0.000323631,0.000323639,0.000323631,0.000323627,0.997087249,0.000323636
0.000233649,0.784102242,0.000233647,0.000233647,0.000233647,0.000233646,0.000233649,0.000233652,0.214028571,0.00023365
0.000287358,0.777234289,0.000287357,0.000287376,0.000287363,0.000287362,0.000287373,0.00028736,0.220466785,0.000287378
0.000304878,0.082571493,0.00030488,0.000304923,0.000304878,0.000304878,0.000304879,0.000304885,0.914989425,0.00030488
0.000367648,0.592288818,0.000367648,0.000367648,0.000367647,0.000367651,0.000367667,0.00036765,0.404769972,0.00036765
0.000310559,0.691392901,0.000310576,0.000310561,0.000310695,0.000310603,0.000310562,0.000310572,0.306122404,0.000310568
0.000211865,0.663461253,0.000211869,0.000211865,0.000211866,0.000211869,0.00021187,0.000211867,0.334843807,0.000211869
0.000404859,0.600772576,0.000404858,0.000404864,0.000404858,0.000404864,0.000404867,0.000404871,0.395988511,0.000404871
0.000317464,0.000317483,0.000317483,0.000317463,0.000317464,0.000317465,0.00031746,0.000317463,0.997142794,0.000317462
0.000383144,0.000383182,0.000383142,0.000383144,0.000383142,0.000383145,0.000383147,0.000383144,0.996551665,0.000383144
0.00023981,0.000239829,0.000239812,0.00023981,0.000239809,0.000239809,0.000239814,0.000239809,0.997841682,0.000239816
0.000319491,0.619438759,0.000319489,0.000319497,0.000319581,0.000319496,0.000319491,0.000319493,0.378005207,0.000319497
0.000393701,0.000393721,0.000393701,0.000393702,0.000393708,0.000393707,0.000393701,0.000393702,0.996456648,0.000393707
0.000358423,0.00035846,0.000358423,0.000358428,0.000358423,0.000358424,0.000358427,0.000358423,0.996774141,0.000358428
0.000357143,0.000357166,0.000357147,0.000357143,0.000357143,0.000357154,0.000357143,0.000357152,0.996785652,0.000357157
0.000381679,0.000381713,0.000381679,0.000381682,0.000381679,0.00038168,0.00038169,0.000381679,0.996564835,0.000381683
0.000328948,0.000328975,0.000328947,0.00032895,0.000328952,0.000328949,0.000328948,0.000328948,0.997039431,0.000328952
0.000311527,0.000311542,0.000311526,0.000311526,0.000311526,0.000311526,0.000311526,0.000311527,0.997196243,0.00031153
0.000170943,0.000170945,0.00017094,0.000170943,0.00017094,0.00017094,0.000170945,0.000170941,0.998461519,0.000170943
0.000377364,0.000377379,0.000377359,0.000377359,0.000377361,0.000377359,0.000377372,0.000377363,0.996603722,0.00037736
0.0004,0.000400037,0.000400003,0.0004,0.000400011,0.0004,0.000400012,0.000400008,0.996399921,0.000400008
0.000378788,0.770312639,0.00037879,0.000378802,0.000378791,0.00037879,0.00037881,0.00037879,0.226657006,0.000378795
0.000343643,0.000343658,0.000343643,0.000343651,0.000343651,0.000343643,0.000343644,0.000343648,0.996907159,0.00034366
0.000242132,0.000242156,0.614209619,0.000242133,0.000242155,0.000242133,0.000242135,0.000242145,0.383853254,0.000242139
0.000263854,0.000263867,0.000263858,0.000263857,0.000263852,0.000263852,0.000263874,0.000263873,0.997625247,0.000263867
0.000378805,0.000378804,0.000378834,0.000378842,0.000378799,0.000378788,0.00037879,0.385059771,0.611909777,0.00037879
0.000396828,0.00039684,0.000396825,0.524931357,0.000396831,0.000396825,0.000396828,0.00039684,0.471893998,0.000396828
0.000276244,0.000276256,0.000276243,0.000276261,0.000276243,0.000276243,0.000276252,0.000276252,0.99751376,0.000276246
0.00032787,0.000327882,0.000327871,0.000327883,0.000327869,0.00032787,0.000327869,0.000327875,0.99704914,0.000327872
0.000352126,0.000352138,0.000352118,0.000352116,0.000352113,0.000352116,0.000352113,0.000352132,0.996830905,0.000352123
0.000338989,0.00033901,0.000339051,0.000338985,0.000339002,0.000338984,0.00033899,0.000339001,0.996948996,0.000338992
0.000353357,0.000353386,0.000353357,0.000353367,0.000353357,0.000353358,0.000353364,0.000353365,0.996819726,0.000353362
0.000230416,0.00023044,0.000230421,0.00023042,0.00023042,0.000230419,0.000230418,0.736890029,0.261266593,0.000230424
0.000296739,0.000296754,0.000296736,0.000296744,0.00029674,0.000296739,0.000296738,0.000296738,0.997329332,0.000296739
0.00038912,0.000389117,0.000389105,0.000389179,0.000389105,0.000389106,0.000389105,0.000389109,0.996497945,0.000389108
0.622416609,0.000315478,0.000315458,0.000315471,0.000315457,0.000315459,0.000315459,0.000315469,0.375059681,0.000315459
0.000359712,0.000359732,0.000359712,0.000359717,0.000359712,0.000359713,0.000359713,0.000359714,0.996762559,0.000359714
0.000340145,0.000340155,0.000340136,0.00034015,0.000340139,0.000340137,0.000340137,0.347594332,0.649684528,0.00034014
0.00023753,0.000237539,0.00023753,0.000237536,0.000237539,0.000237532,0.000237531,0.000237536,0.997862195,0.000237533
0.000332226,0.000332245,0.000332228,0.000332228,0.000332231,0.000332236,0.000332233,0.000332232,0.997009912,0.000332228
0.000327895,0.000327891,0.000327869,0.000327914,0.000327869,0.000327869,0.000327869,0.000327871,0.997049078,0.000327875
0.000363637,0.000363677,0.000363636,0.000363662,0.000363641,0.000363639,0.000363646,0.000363638,0.996727186,0.000363637
0.00018797,0.000187985,0.00018797,0.509543793,0.000187973,0.00018797,0.000187971,0.000187978,0.488952417,0.000187973
0.000266673,0.000266705,0.000266667,0.000266672,0.000266672,0.000266668,0.000266676,0.000266671,0.997599924,0.000266673
0.000323626,0.00032363,0.000323628,0.000323627,0.000323633,0.000323625,0.000323626,0.000323636,0.997087343,0.000323626
0.000264569,0.000264592,0.000264551,0.000264556,0.000264563,0.000264553,0.000264558,0.000264562,0.378371816,0.61951168
0.000373136,0.000373149,0.000373134,0.000373134,0.000373134,0.000373137,0.000373135,0.000373203,0.996641691,0.000373147
0.000312512,0.000312509,0.000312508,0.000312502,0.000312502,0.000312521,0.000312509,0.000312523,0.997187399,0.000312515
0.0003663,0.000366319,0.0003663,0.000366303,0.000366309,0.000366304,0.000366301,0.0003663,0.996703255,0.000366308
0.000265958,0.000265968,0.000265961,0.000265958,0.000265959,0.000265957,0.000265964,0.010405739,0.987466566,0.000265969
0.00037594,0.000375969,0.00037594,0.000375943,0.00037594,0.00037594,0.000375956,0.429053825,0.567938591,0.000375956
0.000289022,0.000289038,0.000289017,0.000289018,0.000289024,0.000289019,0.000289027,0.000289034,0.997398661,0.000289138
0.000327873,0.00032789,0.000327869,0.00032787,0.000327869,0.000327869,0.000327869,0.000327872,0.997049147,0.000327871
0.000294986,0.000295,0.000294987,0.000294987,0.000295028,0.00029499,0.000294987,0.000294992,0.997345049,0.000294994
0.000353357,0.000353364,0.000353357,0.000353358,0.000353361,0.000353385,0.000353357,0.000353364,0.996819724,0.000353373
0.0003663,0.000366311,0.0003663,0.000366301,0.000366308,0.000366305,0.0003663,0.0003663,0.996703267,0.000366306
0.000270271,0.000270284,0.00027027,0.000270271,0.000270275,0.000270283,0.000270272,0.000270276,0.997567517,0.000270279
0.000316456,0.000316496,0.000316456,0.000316457,0.000316456,0.000316457,0.000316456,0.00031647,0.997151834,0.000316462
0.000314469,0.000314475,0.000314465,0.000314467,0.000314465,0.000314473,0.000314465,0.000314477,0.997169776,0.000314468
0.000373136,0.000373151,0.000373134,0.000373137,0.000373134,0.000373136,0.000373143,0.000373193,0.996641686,0.000373148
0.000303953,0.000303964,0.000303951,0.000303953,0.000303999,0.000303962,0.000303956,0.000303989,0.997264316,0.000303958
0.000287357,0.000287372,0.00028736,0.000287359,0.000287356,0.000287362,0.000287361,0.00028737,0.997413744,0.000287358
0.000321547,0.000321561,0.000321543,0.000321545,0.000321567,0.00032156,0.000321589,0.000321559,0.99710598,0.000321548
0.000416675,0.000416702,0.000416667,0.000416692,0.000416667,0.000416683,0.000416681,0.405663973,0.591002586,0.000416675
6.71E-05,6.71E-05,6.71E-05,0.502443286,6.71E-05,6.71E-05,6.71E-05,6.71E-05,0.497020149,6.71E-05
0.000320516,0.000320556,0.000320514,0.000320523,0.000320514,0.000320514,0.567327803,0.000320535,0.430108011,0.000320515
0.000170649,0.000170661,0.00017065,0.000170653,0.000170652,0.000170649,0.00017065,0.000170652,0.998464128,0.000170656
0.000267381,0.000267396,0.000267399,0.000267393,0.000267385,0.00026738,0.000267381,0.000267385,0.997593518,0.000267382
8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,8.13E-05,0.999268279,8.13E-05
5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,5.18E-05,0.999533666,5.18E-05
0.000194175,0.000194188,0.000194176,0.000194188,0.000194175,0.000194175,0.000194176,0.000194178,0.998252393,0.000194178
7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,7.96E-05,0.999283987,7.96E-05
0.000194178,0.000194186,0.000194175,0.0001942,0.000194175,0.000194177,0.000194176,0.000194176,0.998252376,0.000194181
0.000304885,0.000304904,0.000304878,0.629013376,0.000304911,0.000304885,0.000304881,0.000304898,0.368547493,0.000304889
